loan_id,vintage_year,net_monthly_income,essential_spending,existing_debt_payment,principal,annual_rate,term_months,utilisation,prior_arrears,default_12m
SYN-2022-0038,2022,1602.83,884.63,109.88,4000,0.0848,60,0.1773,0,0
SYN-2022-0039,2022,4855.42,2917.47,279.42,10000,0.1339,24,0.4595,0,0
SYN-2022-0040,2022,2039.19,1077.57,374.8,15000,0.1737,36,0.6704,0,0
SYN-2022-0041,2022,3779.48,1769.68,544.39,10000,0.1649,36,0.7157,0,0
SYN-2022-0042,2022,3633.91,2294.33,596.82,20000,0.1317,24,0.3788,0,0
SYN-2022-0043,2022,4910.55,1762.75,257.16,10000,0.1033,36,0.2271,0,0
SYN-2022-0044,2022,4807.1,2600.26,469.29,4000,0.1774,36,0.5453,1,0
SYN-2022-0045,2022,2293.54,1272.35,260.66,6000,0.1381,36,0.8494,0,0
SYN-2022-0046,2022,1605.17,706.28,222.93,4000,0.175,60,0.7375,0,0
SYN-2022-0047,2022,2046.08,1057.06,180.46,6000,0.133,24,0.2041,0,0
SYN-2022-0048,2022,4385.78,2432.23,1058.85,4000,0.1083,24,0.4564,0,0
SYN-2022-0049,2022,3495.76,1889.02,691.39,10000,0.1274,48,0.4102,0,0
SYN-2022-0050,2022,4962.91,1936.7,480.64,6000,0.1011,36,0.5725,0,0
SYN-2022-0051,2022,4552.86,2790.56,1047.96,4000,0.1648,36,0.5672,0,0
SYN-2022-0052,2022,4565.08,2507.43,440.89,20000,0.15,48,0.6268,0,0
SYN-2022-0053,2022,1846.17,1002.58,308.34,20000,0.1063,24,0.0264,0,0
SYN-2022-0054,2022,2833.09,1456.25,673.84,15000,0.1621,60,0.2567,0,0
SYN-2022-0055,2022,1792.39,661.06,328.97,20000,0.1069,48,0.1009,0,0
SYN-2022-0056,2022,1728.62,733.39,423.69,20000,0.1706,24,0.3217,0,0
SYN-2022-0057,2022,1609.79,796.52,192.17,6000,0.1392,36,0.3888,0,1
SYN-2022-0058,2022,4493.91,2373.99,507.65,10000,0.1777,36,0.721,0,0
SYN-2022-0059,2022,3710.39,2334.56,307.96,20000,0.1227,48,0.7887,1,1
SYN-2022-0060,2022,3492.08,1609.22,332.53,20000,0.148,24,0.5876,0,0
SYN-2022-0061,2022,4514.82,2129.24,466.61,4000,0.0813,48,0.4842,0,0
SYN-2022-0062,2022,4134.65,1468.33,670.93,15000,0.1425,60,0.062,0,0
SYN-2022-0063,2022,3026.42,1568.5,186.9,10000,0.1238,48,0.3925,0,0
SYN-2022-0064,2022,4142.33,2324.07,729.95,20000,0.156,36,0.3762,0,0
SYN-2022-0065,2022,1728.97,711.18,261.83,4000,0.1157,60,0.5371,0,0
SYN-2022-0066,2022,2662.8,933.85,506.66,20000,0.1716,60,0.6685,1,0
SYN-2022-0067,2022,3533.76,2229.77,442.06,4000,0.1398,48,0.7994,0,0
SYN-2022-0068,2022,2581.89,1498.15,473.31,6000,0.176,60,0.4584,0,0
SYN-2022-0069,2022,2049.53,825.41,262.42,15000,0.0946,60,0.6441,0,0
SYN-2022-0070,2022,3187.59,1912.24,291.38,6000,0.1381,60,0.699,0,0
SYN-2022-0071,2022,5160.03,1930.38,594.06,6000,0.1512,48,0.4378,0,0
SYN-2022-0072,2022,3612.39,2275.07,248.19,6000,0.1753,36,0.2116,1,1
SYN-2022-0073,2022,2170.58,775.92,456.52,4000,0.1174,48,0.7534,0,0
SYN-2022-0074,2022,2295.83,1272.25,566.52,4000,0.0903,48,0.0376,0,0
SYN-2022-0075,2022,4169.37,1878.49,485.29,20000,0.1243,24,0.1241,0,0
SYN-2022-0076,2022,1957.64,825.81,86.0,15000,0.0968,24,0.1502,0,0
SYN-2022-0077,2022,4100.07,2009.48,388.33,6000,0.1779,36,0.061,0,0
SYN-2022-0078,2022,1946.19,919.53,424.57,4000,0.0895,36,0.599,1,0
SYN-2022-0079,2022,5098.42,2368.22,1081.52,4000,0.1394,48,0.7404,0,0
SYN-2022-0080,2022,3555.59,1922.97,566.95,15000,0.1341,60,0.9497,0,0
SYN-2022-0081,2022,4369.79,2338.28,924.12,6000,0.1334,48,0.6178,0,0
SYN-2022-0082,2022,2810.52,1190.44,127.47,4000,0.1636,48,0.7319,0,0
SYN-2022-0083,2022,4187.42,1952.19,706.45,20000,0.0978,36,0.3304,0,0
SYN-2022-0084,2022,2219.11,798.69,201.14,4000,0.1454,36,0.6755,0,0
SYN-2022-0085,2022,2089.94,955.67,180.84,20000,0.1214,60,0.1831,0,0
SYN-2022-0086,2022,4970.13,1832.91,851.68,4000,0.1147,60,0.8466,1,1
SYN-2022-0087,2022,3752.51,1375.87,752.85,10000,0.1464,60,0.1638,0,0
SYN-2022-0088,2022,1881.62,881.47,336.08,15000,0.0874,36,0.8733,0,0
SYN-2022-0089,2022,1789.0,866.27,79.85,6000,0.1338,48,0.6213,1,0
SYN-2022-0090,2022,5052.94,2016.42,535.09,6000,0.0894,36,0.4251,1,0
SYN-2022-0091,2022,2112.87,1191.78,440.49,4000,0.0972,48,0.9576,1,0
SYN-2022-0092,2022,1832.8,797.38,332.43,6000,0.1404,36,0.5181,1,0
SYN-2022-0093,2022,2860.12,1679.46,656.0,20000,0.1333,24,0.0955,0,0
SYN-2022-0094,2022,4983.55,1837.35,580.84,20000,0.1755,48,0.572,0,0
SYN-2022-0095,2022,1819.83,1060.11,290.08,20000,0.1358,24,0.821,0,0
SYN-2022-0096,2022,2751.9,1063.97,459.34,4000,0.139,60,0.3914,0,0
SYN-2022-0097,2022,2812.42,1598.27,235.83,10000,0.1042,24,0.2931,0,0
SYN-2022-0098,2022,3578.49,2180.31,315.13,20000,0.108,24,0.5684,0,0
SYN-2022-0099,2022,3794.36,2056.72,823.6,20000,0.1766,24,0.9003,0,0
SYN-2022-0100,2022,2447.29,893.31,163.35,15000,0.1524,48,0.7837,0,0
SYN-2022-0101,2022,2365.26,1222.49,556.06,20000,0.1755,60,0.2691,1,0
SYN-2022-0102,2022,4096.39,1879.56,868.8,10000,0.1605,24,0.6775,0,0
SYN-2022-0103,2022,4481.77,2104.53,405.8,15000,0.1511,48,0.5511,0,0
SYN-2022-0104,2022,3103.33,1311.97,188.04,20000,0.1534,36,0.4368,1,0
SYN-2022-0105,2022,1655.97,928.96,373.08,6000,0.0919,60,0.7419,0,0
SYN-2022-0106,2022,4185.45,2541.34,660.98,6000,0.1721,48,0.7689,0,0
SYN-2022-0107,2022,2334.9,1305.53,577.96,6000,0.1658,48,0.8947,1,0
SYN-2022-0108,2022,3603.73,1354.7,489.69,10000,0.1582,60,0.3525,0,0
SYN-2022-0109,2022,5141.46,3013.48,1015.06,20000,0.171,24,0.8653,1,0
SYN-2022-0110,2022,3907.55,1412.64,575.8,15000,0.1354,24,0.3752,0,0
SYN-2022-0111,2022,4995.4,2717.88,631.19,20000,0.1653,60,0.3326,0,0
SYN-2022-0112,2022,1813.98,1090.82,359.28,6000,0.1054,36,0.6704,0,0
SYN-2022-0113,2022,3915.58,1700.76,283.37,20000,0.0971,24,0.7286,0,0
SYN-2022-0114,2022,4708.94,1745.58,968.14,10000,0.1045,36,0.6072,0,0
SYN-2022-0115,2022,2463.26,1532.04,235.8,15000,0.0809,36,0.5151,0,0
SYN-2022-0116,2022,3936.41,2274.63,908.87,6000,0.1338,60,0.4338,0,0
SYN-2022-0117,2022,2812.43,1011.25,289.57,15000,0.0868,60,0.8814,0,0
SYN-2022-0118,2022,4805.36,2589.76,595.18,15000,0.1414,36,0.4022,0,0
SYN-2022-0119,2022,3870.18,2327.48,962.84,15000,0.0972,48,0.6151,1,0
SYN-2022-0120,2022,1845.87,897.79,225.93,4000,0.1451,48,0.7185,0,0
SYN-2022-0121,2022,2309.01,849.13,97.24,10000,0.1056,36,0.647,0,0
SYN-2022-0122,2022,3357.09,1534.5,652.94,10000,0.0909,48,0.8511,1,1
SYN-2022-0123,2022,2810.33,1080.64,327.91,6000,0.1059,24,0.5709,1,1
SYN-2022-0124,2022,2110.18,758.06,498.21,10000,0.155,48,0.4056,0,0
SYN-2022-0125,2022,3558.67,1312.29,661.34,4000,0.1517,36,0.5616,0,0
SYN-2022-0126,2022,5052.81,1801.9,801.54,10000,0.1509,60,0.5894,1,0
SYN-2022-0127,2022,3452.86,1883.51,197.65,20000,0.0942,48,0.9018,0,0
SYN-2022-0128,2022,4050.82,2283.22,985.19,20000,0.0804,60,0.8769,0,0
SYN-2022-0129,2022,4316.63,2411.53,383.74,15000,0.1017,48,0.5133,0,0
SYN-2022-0130,2022,3347.12,1371.87,460.62,20000,0.1501,48,0.3718,0,0
SYN-2022-0131,2022,2954.65,1448.32,237.16,6000,0.0925,36,0.7456,0,0
SYN-2022-0132,2022,1904.21,1203.78,302.48,20000,0.1557,24,0.2916,0,0
SYN-2022-0133,2022,2273.27,942.21,173.25,15000,0.1,48,0.2735,0,0
SYN-2022-0134,2022,3629.66,1379.43,876.13,10000,0.1109,48,0.3894,1,0
SYN-2022-0135,2022,4795.87,1846.54,1057.07,4000,0.0823,36,0.0642,0,0
SYN-2022-0136,2022,4030.72,1485.34,211.96,15000,0.1171,24,0.4296,0,0
SYN-2022-0137,2022,4542.94,2822.51,708.9,4000,0.1328,60,0.2949,0,0
SYN-2022-0138,2022,2925.66,1667.16,450.12,6000,0.151,60,0.7888,0,0
SYN-2022-0139,2022,2802.8,1334.96,186.03,4000,0.1326,36,0.5861,0,0
SYN-2022-0140,2022,2087.43,1170.01,351.19,4000,0.1668,24,0.3617,0,0
SYN-2022-0141,2022,5190.02,2240.72,409.4,6000,0.1736,60,0.6636,0,0
SYN-2022-0142,2022,5123.17,2427.8,873.41,10000,0.1161,48,0.6132,0,0
SYN-2022-0143,2022,3627.22,2121.29,611.28,6000,0.1743,24,0.4671,0,0
SYN-2022-0144,2022,3179.41,1514.89,777.37,6000,0.0983,48,0.2644,0,0
SYN-2022-0145,2022,2242.72,1254.28,153.22,15000,0.1615,36,0.8009,0,0
SYN-2022-0146,2022,5098.02,3138.45,1176.78,15000,0.1731,60,0.132,0,0
SYN-2022-0147,2022,1695.6,917.86,161.39,15000,0.1756,48,0.5532,0,0
SYN-2022-0148,2022,4376.39,1689.42,814.86,4000,0.161,48,0.3626,0,0
SYN-2022-0149,2022,3528.9,1399.07,610.86,10000,0.1407,60,0.6738,0,0
SYN-2022-0150,2022,3586.67,1360.45,364.04,15000,0.1312,36,0.3635,1,0
SYN-2022-0151,2022,5138.06,2996.89,872.87,6000,0.1641,60,0.283,1,0
SYN-2022-0152,2022,2061.36,892.21,165.88,15000,0.1355,36,0.0538,0,0
SYN-2022-0153,2022,4532.05,2671.47,907.64,6000,0.1279,48,0.6145,0,0
SYN-2022-0154,2022,4058.18,1998.89,930.43,10000,0.1346,60,0.1463,0,0
SYN-2022-0155,2022,2655.39,1134.69,397.65,15000,0.151,48,0.5395,0,0
SYN-2022-0156,2022,4402.35,2570.42,661.88,6000,0.0883,48,0.4078,0,0
SYN-2022-0157,2022,3743.7,2050.58,466.04,20000,0.1471,36,0.7357,0,0
SYN-2022-0158,2022,2276.13,1003.97,143.8,20000,0.1046,36,0.2253,0,0
SYN-2022-0159,2022,2954.58,1795.49,568.09,20000,0.1269,24,0.5272,0,0
SYN-2022-0160,2022,2557.58,1433.83,145.77,10000,0.1588,36,0.144,0,0
SYN-2022-0161,2022,2014.71,942.96,456.01,15000,0.1045,36,0.2983,0,0
SYN-2022-0162,2022,2377.0,937.73,566.15,4000,0.1402,36,0.5381,0,0
SYN-2022-0163,2022,3919.92,1951.59,790.72,10000,0.1588,48,0.8783,0,0
SYN-2022-0164,2022,3762.18,2097.71,725.66,10000,0.1152,24,0.8693,0,0
SYN-2022-0165,2022,2069.11,765.12,424.89,10000,0.1603,48,0.1141,0,0
SYN-2022-0166,2022,3784.93,2439.58,232.93,4000,0.1709,60,0.395,0,0
SYN-2022-0167,2022,4585.69,2852.95,197.0,6000,0.1259,60,0.7057,0,0
SYN-2022-0168,2022,2953.18,1324.97,623.21,15000,0.1054,60,0.4487,0,0
SYN-2022-0169,2022,3992.69,1957.46,449.41,4000,0.1598,24,0.1066,1,1
SYN-2022-0170,2022,2713.17,1258.63,225.0,10000,0.0803,24,0.7634,0,0
SYN-2022-0171,2022,3216.25,2045.78,371.69,6000,0.1043,24,0.404,0,0
SYN-2022-0172,2022,4042.23,2410.84,835.05,6000,0.148,36,0.2702,0,0
SYN-2022-0173,2022,2827.85,1022.34,146.94,4000,0.1798,48,0.4169,1,0
SYN-2022-0174,2022,1607.91,736.5,147.28,6000,0.1324,24,0.7845,0,0
SYN-2022-0175,2022,5167.1,3245.21,334.44,10000,0.1778,36,0.4358,0,0
SYN-2022-0176,2022,4095.27,1914.88,483.64,20000,0.1249,60,0.7302,0,1
SYN-2022-0177,2022,3579.26,1255.66,511.83,10000,0.1615,60,0.3948,1,0
SYN-2022-0178,2022,4435.95,2438.1,1042.9,15000,0.1525,60,0.5637,0,0
SYN-2022-0179,2022,3976.0,1753.56,950.32,4000,0.1502,48,0.4865,0,0
SYN-2022-0180,2022,3663.09,2180.26,618.31,10000,0.1793,48,0.1942,0,0
SYN-2022-0181,2022,4797.74,2000.44,464.11,20000,0.18,36,0.2052,0,0
SYN-2022-0182,2022,3522.43,1968.57,634.4,20000,0.0913,36,0.245,0,0
SYN-2022-0183,2022,2046.81,754.48,425.46,4000,0.1362,24,0.1074,0,0
SYN-2022-0184,2022,2192.99,817.27,205.53,15000,0.1572,24,0.2979,1,0
SYN-2022-0185,2022,4773.36,1897.93,877.07,6000,0.0863,60,0.5939,0,1
SYN-2022-0186,2022,3990.14,1811.95,464.48,10000,0.1352,48,0.2546,0,0
SYN-2022-0187,2022,2072.96,806.99,303.64,6000,0.0933,48,0.5351,0,0
SYN-2022-0188,2022,2566.86,1339.69,197.94,10000,0.1357,24,0.2211,0,0
SYN-2022-0189,2022,3613.98,1424.4,548.78,4000,0.1359,36,0.5795,0,0
SYN-2022-0190,2022,2941.16,1681.9,164.15,6000,0.1353,36,0.5317,0,0
SYN-2022-0191,2022,3317.2,1490.92,763.43,10000,0.1058,48,0.3247,0,0
SYN-2022-0192,2022,1767.42,1030.99,150.53,4000,0.1073,24,0.2137,0,0
SYN-2022-0193,2022,2304.35,1088.55,342.45,4000,0.1363,36,0.5865,0,0
SYN-2022-0194,2022,5078.33,3223.25,1139.57,10000,0.166,24,0.6588,0,0
SYN-2022-0195,2022,4431.74,2689.65,757.81,4000,0.1503,36,0.9458,0,0
SYN-2022-0196,2022,4818.81,2356.62,688.5,6000,0.1484,36,0.5179,0,0
SYN-2022-0197,2022,4700.23,2681.01,413.24,15000,0.1229,48,0.7705,0,0
SYN-2022-0198,2022,4041.34,2557.13,596.59,20000,0.1538,36,0.4099,0,0
SYN-2022-0199,2022,2345.73,1099.8,273.34,20000,0.1124,36,0.8623,0,0
SYN-2022-0200,2022,3026.32,1407.76,311.75,4000,0.1141,24,0.736,1,0
SYN-2022-0201,2022,4622.34,2657.14,230.74,10000,0.1129,24,0.1441,0,0
SYN-2022-0202,2022,2193.59,1287.9,111.66,10000,0.1799,48,0.2326,0,0
SYN-2022-0203,2022,4302.21,2119.33,460.0,4000,0.1088,36,0.4683,0,0
SYN-2022-0204,2022,2185.88,768.35,225.9,15000,0.0982,48,0.0832,1,0
SYN-2022-0205,2022,4610.74,2758.85,944.92,6000,0.1692,24,0.7873,0,0
SYN-2022-0206,2022,4843.04,2616.11,705.47,6000,0.104,48,0.8136,1,0
SYN-2022-0207,2022,2203.32,905.51,420.86,10000,0.0852,24,0.3422,1,0
SYN-2022-0208,2022,4843.92,2013.13,1039.75,20000,0.1697,36,0.4895,0,0
SYN-2022-0209,2022,3908.32,1487.3,397.17,15000,0.0821,36,0.7319,0,0
SYN-2022-0210,2022,1956.11,859.32,174.17,15000,0.111,48,0.8057,0,0
SYN-2022-0211,2022,2159.55,1284.0,244.0,4000,0.0923,36,0.2929,0,0
SYN-2022-0212,2022,2034.34,1234.04,168.36,20000,0.1409,48,0.3824,0,0
SYN-2022-0213,2022,4309.94,2184.78,176.49,10000,0.111,48,0.7141,0,1
SYN-2022-0214,2022,2672.62,1339.48,488.46,15000,0.1248,24,0.1995,0,0
SYN-2022-0215,2022,5044.77,2849.09,871.87,15000,0.1081,36,0.539,0,0
SYN-2022-0216,2022,2995.46,1690.04,152.25,4000,0.1446,60,0.3475,0,0
SYN-2022-0217,2022,2795.11,1658.23,556.12,20000,0.1471,60,0.4509,0,0
SYN-2022-0218,2022,1848.67,825.47,78.7,10000,0.1581,60,0.3523,0,0
SYN-2022-0219,2022,4281.49,1918.58,775.28,15000,0.0899,24,0.6021,0,0
SYN-2022-0220,2022,2197.05,1380.99,124.5,20000,0.1519,48,0.4393,0,0
SYN-2022-0221,2022,3324.59,1344.36,522.09,4000,0.1449,24,0.3542,0,0
SYN-2022-0222,2022,4728.13,2476.26,512.53,15000,0.1389,36,0.476,0,0
SYN-2022-0223,2022,2885.04,1250.78,333.73,10000,0.1724,24,0.1297,0,0
SYN-2022-0224,2022,1830.96,752.5,231.01,20000,0.1303,48,0.532,0,0
SYN-2022-0225,2022,3019.09,1175.96,519.36,10000,0.1214,60,0.3038,0,0
SYN-2022-0226,2022,2726.23,1105.4,208.92,6000,0.1488,36,0.5655,0,0
SYN-2022-0227,2022,2941.6,1314.98,401.35,4000,0.1785,60,0.5606,1,0
SYN-2022-0228,2022,3276.33,1680.55,378.79,10000,0.1332,48,0.5211,0,0
SYN-2022-0229,2022,2780.33,1016.24,455.57,10000,0.082,36,0.1105,0,0
SYN-2022-0230,2022,3763.4,1506.65,918.94,15000,0.1736,24,0.4647,0,0
SYN-2022-0231,2022,2481.72,1164.42,469.34,20000,0.1713,60,0.4171,0,0
SYN-2022-0232,2022,3127.13,1366.13,596.46,20000,0.1004,48,0.5908,0,0
SYN-2022-0233,2022,2929.97,1804.12,342.47,20000,0.1109,36,0.6465,1,1
SYN-2022-0234,2022,2706.17,1611.47,466.04,6000,0.119,60,0.5982,0,1
SYN-2022-0235,2022,5086.65,2972.09,400.48,6000,0.1794,48,0.1309,0,0
SYN-2022-0236,2022,3230.69,1404.61,475.88,6000,0.1068,48,0.2591,0,0
SYN-2022-0237,2022,2988.71,1502.3,262.81,10000,0.1325,48,0.5354,0,0
SYN-2022-0238,2022,2361.41,1262.19,97.96,4000,0.1215,36,0.3504,1,0
SYN-2022-0239,2022,3728.31,1782.21,630.07,10000,0.1654,60,0.4198,0,0
SYN-2022-0240,2022,3769.24,1385.91,605.19,4000,0.0865,48,0.2662,0,0
SYN-2022-0241,2022,3643.86,2237.69,181.78,4000,0.159,36,0.8538,0,0
SYN-2022-0242,2022,1612.72,729.0,379.52,6000,0.0958,48,0.5402,0,0
SYN-2022-0243,2022,4645.34,2108.92,803.71,10000,0.1694,36,0.3589,1,0
SYN-2022-0244,2022,4194.03,1668.59,458.29,4000,0.1672,48,0.2712,0,0
SYN-2022-0245,2022,1964.27,1131.12,409.79,15000,0.0988,60,0.1773,1,0
SYN-2022-0246,2022,3384.96,1903.57,362.78,20000,0.1604,36,0.2818,0,0
SYN-2022-0247,2022,3357.3,1960.45,534.48,10000,0.0853,24,0.1766,0,0
SYN-2022-0248,2022,3045.75,1252.0,410.84,6000,0.1695,36,0.6756,0,0
SYN-2022-0249,2022,2018.22,1260.45,196.49,6000,0.0945,24,0.3189,0,0
SYN-2022-0250,2022,2689.88,1501.53,543.11,4000,0.1256,48,0.6236,0,0
SYN-2022-0251,2022,3734.09,2163.12,818.85,20000,0.1012,24,0.2707,0,0
SYN-2022-0252,2022,4713.34,3026.01,819.99,15000,0.1073,48,0.5116,1,1
SYN-2022-0253,2022,2080.21,736.96,210.75,4000,0.1673,24,0.5836,0,0
SYN-2022-0254,2022,2488.4,1360.74,379.72,4000,0.1559,36,0.8462,0,0
SYN-2022-0255,2022,4928.58,1779.03,437.68,20000,0.0849,48,0.2656,0,0
SYN-2022-0256,2022,4142.6,2073.3,695.29,10000,0.1402,60,0.5276,0,0
SYN-2022-0257,2022,3994.24,1421.17,295.32,15000,0.0861,48,0.528,0,0
SYN-2022-0258,2022,2989.98,1717.89,461.4,6000,0.1019,60,0.8334,0,0
SYN-2022-0259,2022,1962.33,1209.79,297.26,4000,0.0832,48,0.5593,0,0
SYN-2022-0260,2022,3899.14,1403.08,197.44,4000,0.1661,48,0.3807,0,0
SYN-2022-0261,2022,2726.82,1613.12,661.01,10000,0.1708,24,0.5519,0,0
SYN-2022-0262,2022,2046.69,1030.68,352.3,15000,0.1095,24,0.609,1,0
SYN-2022-0263,2022,2374.53,908.97,455.17,15000,0.1548,60,0.3448,0,0
SYN-2022-0264,2022,3135.95,1301.34,708.33,6000,0.1301,36,0.2917,0,0
SYN-2022-0265,2022,4504.96,2266.35,639.81,6000,0.123,60,0.2828,0,0
SYN-2022-0266,2022,3450.24,1225.22,851.7,15000,0.1034,24,0.5014,0,1
SYN-2022-0267,2022,5031.01,2642.63,598.74,20000,0.1645,48,0.6277,0,0
SYN-2022-0268,2022,2591.98,921.89,426.61,10000,0.1445,48,0.391,1,0
SYN-2022-0269,2022,3270.86,1360.86,546.04,6000,0.1513,48,0.8073,0,0
SYN-2022-0270,2022,2354.68,1116.01,429.79,6000,0.0921,48,0.2804,0,0
SYN-2022-0271,2022,2333.61,944.16,109.68,6000,0.0845,48,0.1106,0,0
SYN-2022-0272,2022,1937.51,894.3,439.61,4000,0.0997,36,0.5643,0,0
SYN-2022-0273,2022,5055.42,2546.03,698.17,10000,0.1108,36,0.2219,0,0
SYN-2022-0274,2022,4147.66,2591.5,430.33,4000,0.11,36,0.9217,0,0
SYN-2022-0275,2022,4260.03,2645.34,197.55,15000,0.0879,24,0.7713,0,0
SYN-2022-0276,2022,3721.81,1412.24,663.39,15000,0.1056,48,0.8086,0,0
SYN-2022-0277,2022,4262.33,2530.58,177.14,4000,0.111,48,0.0887,0,0
SYN-2022-0278,2022,3523.07,2252.24,425.92,10000,0.1605,48,0.6823,0,0
SYN-2022-0279,2022,2355.14,1019.93,532.93,6000,0.1379,48,0.6727,0,0
SYN-2022-0280,2022,3707.53,2356.01,675.41,15000,0.1491,24,0.3874,0,0
SYN-2022-0281,2022,3558.69,2245.32,271.43,6000,0.1273,24,0.5657,0,0
SYN-2022-0282,2022,1827.75,807.89,421.0,15000,0.1422,36,0.5957,0,0
SYN-2022-0283,2022,4296.11,2281.12,449.77,10000,0.1797,36,0.4137,0,0
SYN-2022-0284,2022,3226.51,1756.74,456.64,10000,0.1707,48,0.273,1,1
SYN-2022-0285,2022,4898.64,2310.59,543.04,4000,0.1076,48,0.0923,1,0
SYN-2022-0286,2022,4670.01,2379.5,800.01,6000,0.1215,36,0.6484,0,0
SYN-2022-0287,2022,4944.84,2292.35,908.63,10000,0.0888,24,0.6884,0,0
SYN-2022-0288,2022,1977.62,768.54,401.45,6000,0.1333,60,0.1728,0,0
SYN-2022-0289,2022,4212.84,1599.5,436.53,6000,0.1505,48,0.7578,0,0
SYN-2022-0290,2022,2250.38,827.26,128.81,15000,0.1316,48,0.2689,0,0
SYN-2022-0291,2022,3012.28,1408.21,466.69,10000,0.1259,48,0.1953,0,0
SYN-2022-0292,2022,3566.01,2267.82,613.76,10000,0.0819,60,0.7776,0,0
SYN-2022-0293,2022,2046.72,1296.09,456.29,20000,0.1482,24,0.3413,0,0
SYN-2022-0294,2022,2064.75,752.83,425.99,10000,0.1754,24,0.8397,0,0
SYN-2022-0295,2022,4613.61,2403.91,837.38,4000,0.1256,24,0.6169,0,0
SYN-2022-0296,2022,3508.33,1543.22,496.45,20000,0.176,36,0.7138,0,0
SYN-2022-0297,2022,2162.24,884.33,111.24,10000,0.1286,48,0.8179,0,0
SYN-2022-0298,2022,4663.17,1823.22,574.19,20000,0.1636,60,0.2327,0,0
SYN-2022-0299,2022,1769.19,862.59,359.69,4000,0.1089,36,0.4756,0,0
SYN-2022-0300,2022,3554.2,2237.88,295.3,20000,0.0833,24,0.5056,0,0
SYN-2022-0301,2022,4747.73,2159.51,600.39,6000,0.0979,48,0.4483,0,0
SYN-2022-0302,2022,3232.68,2078.25,798.32,15000,0.089,48,0.5261,0,0
